crime;income;housing;x;y
18.8;21.23;44.57;35.62;42.38
32.39;4.48;33.2;36.5;40.52
38.43;11.34;37.13;36.71;38.71
0.18;8.44;75;33.36;38.41
15.73;19.53;80.47;38.8;44.07
30.63;15.96;26.35;39.82;41.18
50.73;11.25;23.23;40.01;38
26.07;16.03;28.75;43.75;39.28
48.59;9.87;18;39.61;34.91
34;13.6;96.4;47.61;36.42
36.87;9.8;41.75;48.58;34.46
20.05;21.16;47.73;49.61;32.65
19.15;18.94;40.3;50.11;29.91
18.91;22.21;42.1;51.24;27.8
27.82;18.95;42.5;50.89;25.24
16.24;29.83;61.95;48.44;27.93
0.22;31.07;81.27;46.73;31.91
30.52;17.59;52.6;43.44;35.92
33.71;11.71;30.45;43.37;33.46
40.97;8.09;20.3;41.13;33.14
52.79;10.82;34.1;43.95;31.61
41.97;9.92;23.6;44.1;30.4
39.18;12.81;27;43.7;29.18
53.71;11.11;22.7;41.04;28.78
25.96;16.96;33.5;43.23;27.31
22.54;18.8;35.8;42.67;24.96
26.65;11.81;26.8;41.21;25.9
29.03;14.14;27.73;39.32;25.85
36.66;13.38;25.7;41.09;27.49
42.45;17.02;43.3;38.32;28.82
56.92;7.86;22.85;41.31;30.9
61.3;8.46;17.9;39.36;32.88
60.75;8.68;32.5;39.72;30.64
68.89;13.91;22.5;38.29;30.35
38.3;14.24;53.2;36.6;32.09
54.84;7.63;18.8;37.6;34.08
56.71;10.05;19.9;37.13;36.12
62.28;7.47;19.7;37.85;36.3
46.72;9.55;41.7;35.95;36.4
57.07;9.96;42.9;35.72;35.6
54.52;11.62;30.6;35.76;34.66
43.96;13.19;60;36.15;33.92
40.07;10.66;19.98;34.08;30.42
23.97;14.95;28.45;30.32;28.26
17.68;16.94;31.8;27.94;29.85
14.31;18.74;36.3;27.27;28.21
19.1;18.48;39.6;24.25;26.69
16.53;18.32;76.1;25.47;25.71
16.49;25.87;44.33;29.02;26.58
