crime	income	housing	x	y
18.80	21.23	44.57	35.62	42.38
32.39	4.48	33.20	36.50	40.52
38.43	11.34	37.13	36.71	38.71
0.18	8.44	75.00	33.36	38.41
15.73	19.53	80.47	38.80	44.07
30.63	15.96	26.35	39.82	41.18
50.73	11.25	23.23	40.01	38.00
26.07	16.03	28.75	43.75	39.28
48.59	9.87	18.00	39.61	34.91
34.00	13.60	96.40	47.61	36.42
36.87	9.80	41.75	48.58	34.46
20.05	21.16	47.73	49.61	32.65
19.15	18.94	40.30	50.11	29.91
18.91	22.21	42.10	51.24	27.80
27.82	18.95	42.50	50.89	25.24
16.24	29.83	61.95	48.44	27.93
0.22	31.07	81.27	46.73	31.91
30.52	17.59	52.60	43.44	35.92
33.71	11.71	30.45	43.37	33.46
40.97	8.09	20.30	41.13	33.14
52.79	10.82	34.10	43.95	31.61
41.97	9.92	23.60	44.10	30.40
39.18	12.81	27.00	43.70	29.18
53.71	11.11	22.70	41.04	28.78
25.96	16.96	33.50	43.23	27.31
22.54	18.80	35.80	42.67	24.96
26.65	11.81	26.80	41.21	25.90
29.03	14.14	27.73	39.32	25.85
36.66	13.38	25.70	41.09	27.49
42.45	17.02	43.30	38.32	28.82
56.92	7.86	22.85	41.31	30.90
61.30	8.46	17.90	39.36	32.88
60.75	8.68	32.50	39.72	30.64
68.89	13.91	22.50	38.29	30.35
38.30	14.24	53.20	36.60	32.09
54.84	7.63	18.80	37.60	34.08
56.71	10.05	19.90	37.13	36.12
62.28	7.47	19.70	37.85	36.30
46.72	9.55	41.70	35.95	36.40
57.07	9.96	42.90	35.72	35.60
54.52	11.62	30.60	35.76	34.66
43.96	13.19	60.00	36.15	33.92
40.07	10.66	19.98	34.08	30.42
23.97	14.95	28.45	30.32	28.26
17.68	16.94	31.80	27.94	29.85
14.31	18.74	36.30	27.27	28.21
19.10	18.48	39.60	24.25	26.69
16.53	18.32	76.10	25.47	25.71
16.49	25.87	44.33	29.02	26.58
